date,mood,target,feature_activity,feature_sleep,feature_stress
2025-01-01,-5.555048654253958,-5.555048654253958,6.135,7.246,2.951
2025-01-02,-2.068071954034356,-2.068071954034356,3.617,5.632,3.675
2025-01-03,-2.2325633583090037,-2.2325633583090037,6.304,5.921,1.877
2025-01-04,-0.35708114914587274,-0.35708114914587274,7.033,7.595,3.382
2025-01-05,0.9412149612443347,0.9412149612443347,5.62,7.137,3.166
2025-01-06,0.7223832663018496,0.7223832663018496,7.815,6.853,3.492
2025-01-07,0.9551789133324748,0.9551789133324748,3.839,7.015,3.289
2025-01-08,0.49545163900078004,0.49545163900078004,3.133,7.278,5.455
2025-01-09,-1.0794973816169329,-1.0794973816169329,2.332,6.568,2.362
2025-01-10,-1.1191487610929556,-1.1191487610929556,7.244,6.377,2.469
2025-01-11,0.3450049014467143,0.3450049014467143,5.982,7.157,2.377
2025-01-12,0.8813555288831765,0.8813555288831765,4.917,6.217,2.445
2025-01-13,0.40837030784244016,0.40837030784244016,5.42,7.327,2.363
2025-01-14,0.9834314192982816,0.9834314192982816,3.312,5.638,4.189
2025-01-15,-1.4282785903787576,-1.4282785903787576,8.669,7.823,4.421
2025-01-16,-0.2443107393510139,-0.2443107393510139,5.194,7.378,2.429
2025-01-17,0.4091971632353412,0.4091971632353412,5.164,7.205,2.168
2025-01-18,0.6872231843856761,0.6872231843856761,6.089,7.786,3.471
2025-01-19,0.9723017072724851,0.9723017072724851,5.722,8.332,2.448
2025-01-20,1.4933245475306927,1.4933245475306927,5.336,7.811,3.633
2025-01-21,0.7203708074983495,0.7203708074983495,3.814,5.527,3.203
2025-01-22,-0.24774131604427993,-0.24774131604427993,5.707,5.976,1.484
2025-01-23,0.4977475229364877,0.4977475229364877,7.823,6.5,4.548
2025-01-24,0.23089805744671277,0.23089805744671277,7.018,7.021,4.796
2025-01-25,-0.3527242687549595,-0.3527242687549595,7.39,7.414,2.387
2025-01-26,1.0222541563316567,1.0222541563316567,4.233,6.419,2.612
2025-01-27,0.41007515177228876,0.41007515177228876,3.516,7.149,3.286
2025-01-28,-0.39510323704436334,-0.39510323704436334,4.811,6.396,3.334
2025-01-29,-0.44748426787621814,-0.44748426787621814,5.084,6.511,3.659
2025-01-30,-0.7179466163765676,-0.7179466163765676,6.641,5.875,5.01
2025-01-31,-1.2899080658272326,-1.2899080658272326,2.461,6.261,2.823
2025-02-01,-1.5776761089404754,-1.5776761089404754,7.294,5.919,2.202
2025-02-02,0.347745561146933,0.347745561146933,4.763,6.219,1.621
2025-02-03,0.6070293916877176,0.6070293916877176,4.36,7.843,2.269
2025-02-04,0.7697470491857352,0.7697470491857352,3.482,6.24,2.967
2025-02-05,-0.032269860803565385,-0.032269860803565385,2.518,9.106,4.795
2025-02-06,-0.8320331067909144,-0.8320331067909144,6.235,7.395,2.482
2025-02-07,0.5585112568150796,0.5585112568150796,5.11,7.148,3.224
2025-02-08,-0.008374465331474465,-0.008374465331474465,3.065,6.313,2.984
2025-02-09,-0.9781997143778278,-0.9781997143778278,3.057,7.56,4.188
2025-02-10,-1.2063391551371914,-1.2063391551371914,4.496,6.539,5.527
2025-02-11,-1.8999056060261361,-1.8999056060261361,7.504,7.098,2.469
2025-02-12,0.25817542879943295,0.25817542879943295,4.611,9.048,2.511
2025-02-13,1.2639025130324497,1.2639025130324497,2.745,6.923,4.044
2025-02-14,-0.48188201875938946,-0.48188201875938946,4.631,7.919,3.682
2025-02-15,-0.46094009911087286,-0.46094009911087286,4.591,6.437,4.847
2025-02-16,-1.5162797188316193,-1.5162797188316193,0.955,6.972,3.584
2025-02-17,-2.166398002704538,-2.166398002704538,4.919,8.417,2.641
2025-02-18,0.05549269287288056,0.05549269287288056,4.654,6.498,3.591
2025-02-19,-0.35861544324230193,-0.35861544324230193,6.044,8.45,4.109
2025-02-20,-0.04271913741703111,-0.04271913741703111,7.773,7.566,3.82
2025-02-21,0.8216573814536193,0.8216573814536193,6.69,6.55,3.507
2025-02-22,0.5140012172322153,0.5140012172322153,4.597,7.506,4.067
2025-02-23,-0.17030770553465466,-0.17030770553465466,3.34,7.778,4.169
2025-02-24,-0.5298941537338908,-0.5298941537338908,8.86,7.497,4.382
2025-02-25,0.7294541927694022,0.7294541927694022,5.089,5.744,3.649
2025-02-26,-0.1234986381145549,-0.1234986381145549,5.021,6.418,2.833
2025-02-27,-0.25213082922451974,-0.25213082922451974,4.964,6.802,3.147
2025-02-28,-0.21165622867858347,-0.21165622867858347,5.297,6.94,4.207
2025-03-01,-0.42973477605970223,-0.42973477605970223,4.783,7.497,2.183
2025-03-02,0.7023434122417465,0.7023434122417465,4.14,7.142,3.369
2025-03-03,0.02859896969177267,0.02859896969177267,4.18,5.932,2.607
2025-03-04,-0.37147923773703717,-0.37147923773703717,4.951,7.304,3.029
2025-03-05,-0.17177801990821365,-0.17177801990821365,4.185,7.488,4.278
2025-03-06,-0.8551807240688276,-0.8551807240688276,3.931,7.448,3.191
2025-03-07,-0.31322331537980774,-0.31322331537980774,5.16,7.865,3.046
2025-03-08,0.6761596239608677,0.6761596239608677,4.618,7.667,1.64
2025-03-09,1.3279819152638397,1.3279819152638397,7.256,7.367,3.746
2025-03-10,1.456636576925983,1.456636576925983,1.024,6.944,3.645
2025-03-11,-0.5266226578354742,-0.5266226578354742,6.637,5.671,5.163
2025-03-12,-1.4348965318773574,-1.4348965318773574,6.869,7.344,2.692
2025-03-13,0.34399466249976385,0.34399466249976385,1.89,7.166,3.219
2025-03-14,-0.2758066496140751,-0.2758066496140751,4.486,7.217,3.249
2025-03-15,-0.174657119269664,-0.174657119269664,4.443,5.979,4.577
2025-03-16,-0.9874251805443316,-0.9874251805443316,2.889,6.135,2.905
2025-03-17,-1.831324773037192,-1.831324773037192,3.833,7.843,3.279
2025-03-18,-0.7020643025014843,-0.7020643025014843,3.334,6.968,3.608
2025-03-19,-0.976433685216413,-0.976433685216413,7.628,7.545,3.187
2025-03-20,0.4872665775713917,0.4872665775713917,6.404,7.023,2.554
2025-03-21,1.0460357355243834,1.0460357355243834,6.907,7.024,3.194
2025-03-22,0.7043928478143544,0.7043928478143544,6.083,7.751,4.074
2025-03-23,0.5485396894687276,0.5485396894687276,3.306,6.587,1.973
2025-03-24,0.3525002033460501,0.3525002033460501,4.213,7.077,3.133
2025-03-25,0.3837074741698195,0.3837074741698195,5.734,6.63,2.3
2025-03-26,0.6309123307859602,0.6309123307859602,3.167,6.652,4.195
2025-03-27,-0.9780591212539742,-0.9780591212539742,6.069,6.753,1.477
2025-03-28,0.5131331559816973,0.5131331559816973,4.64,7.178,2.441
2025-03-29,0.8545239578362849,0.8545239578362849,4.438,6.617,3.377
2025-03-30,0.13394010423663674,0.13394010423663674,6.066,8.005,4.566
2025-03-31,0.05500010345015715,0.05500010345015715,5.666,6.284,2.934
2025-04-01,0.20305799889732562,0.20305799889732562,4.459,6.851,2.445
2025-04-02,0.33051181871271446,0.33051181871271446,6.739,6.648,4.881
2025-04-03,-0.07226753084720866,-0.07226753084720866,3.378,8.158,1.552
2025-04-04,0.7190532877413105,0.7190532877413105,5.924,7.157,0.801
2025-04-05,1.868383072649649,1.868383072649649,5.89,7.825,3.44
2025-04-06,1.3869902868591701,1.3869902868591701,4.536,5.812,2.498
2025-04-07,0.13878475159703915,0.13878475159703915,5.489,7.214,1.979
2025-04-08,1.0234169774334463,1.0234169774334463,3.123,7.712,3.708
2025-04-09,0.13200747309857747,0.13200747309857747,6.386,7.066,3.244
2025-04-10,0.5183502664011895,0.5183502664011895,4.723,7.852,2.436
2025-04-11,0.9257334522631562,0.9257334522631562,4.216,6.586,1.72
2025-04-12,0.5473466318501575,0.5473466318501575,6.574,8.127,3.872
2025-04-13,0.829147915038288,0.829147915038288,3.943,8.839,3.65
2025-04-14,0.6513820041143351,0.6513820041143351,2.887,6.71,2.901
2025-04-15,-0.37501720318963,-0.37501720318963,2.665,6.644,4.847
2025-04-16,-1.8149783534283874,-1.8149783534283874,5.909,8.163,1.93
2025-04-17,0.6205077002702158,0.6205077002702158,3.079,8.264,1.474
2025-04-18,1.618706900963665,1.618706900963665,7.632,6.582,2.308
2025-04-19,1.9141646103459151,1.9141646103459151,1.877,6.664,2.954
2025-04-20,0.14876368017488864,0.14876368017488864,7.545,6.775,3.243
2025-04-21,0.7164861834913635,0.7164861834913635,5.317,5.924,2.759
2025-04-22,-0.15340711462349832,-0.15340711462349832,4.855,6.265,3.352
2025-04-23,-0.4653065090909376,-0.4653065090909376,4.183,6.197,1.748
2025-04-24,-0.022197208213484716,-0.022197208213484716,5.599,6.386,4.444
2025-04-25,-0.14791614909954598,-0.14791614909954598,4.944,6.972,2.918
2025-04-26,0.047000411619574,0.047000411619574,6.655,7.187,4.117
2025-04-27,0.23173992347834968,0.23173992347834968,5.171,8.24,3.343
2025-04-28,0.6661194047276144,0.6661194047276144,5.225,6.201,3.457
2025-04-29,-0.27436594183268037,-0.27436594183268037,4.455,7.787,3.57
2025-04-30,0.1533484442422772,0.1533484442422772,4.915,6.829,3.448
